Icon,Date/Time,Description,"Event Type"
true,"2009-11-12 09:05:40","SONY : CYBERSHOT : DSC00028.JPG",Exif
true,"2009-11-12 09:05:46","SONY : CYBERSHOT : DSC00029.JPG",Exif
true,"2009-11-12 09:05:53","SONY : CYBERSHOT : DSC00030.JPG",Exif
true,"2009-11-12 09:06:11","SONY : CYBERSHOT : DSC00031.JPG",Exif
true,"2009-11-12 09:08:11","SONY : CYBERSHOT : DSC00032.JPG",Exif
true,"2009-11-12 09:08:21","SONY : CYBERSHOT : DSC00033.JPG",Exif
true,"2009-11-12 09:08:44","SONY : CYBERSHOT : DSC00034.JPG",Exif
true,"2009-11-12 09:08:52","SONY : CYBERSHOT : DSC00035.JPG",Exif
true,"2009-11-12 09:09:01","SONY : CYBERSHOT : DSC00036.JPG",Exif
true,"2009-11-12 09:09:09","SONY : CYBERSHOT : DSC00037.JPG",Exif
true,"2009-11-12 09:09:23","SONY : CYBERSHOT : DSC00038.JPG",Exif
true,"2009-11-12 09:09:31","SONY : CYBERSHOT : DSC00039.JPG",Exif
true,"2009-11-12 09:09:39","SONY : CYBERSHOT : DSC00040.JPG",Exif
true,"2009-11-12 09:09:50","SONY : CYBERSHOT : DSC00041.JPG",Exif
true,"2009-11-12 09:10:03","SONY : CYBERSHOT : DSC00042.JPG",Exif
true,"2009-11-12 09:10:17","SONY : CYBERSHOT : DSC00043.JPG",Exif
true,"2009-11-12 09:10:24","SONY : CYBERSHOT : DSC00044.JPG",Exif
true,"2009-11-12 09:10:36","SONY : CYBERSHOT : DSC00045.JPG",Exif
true,"2009-11-12 09:10:49","SONY : CYBERSHOT : DSC00046.JPG",Exif
true,"2009-11-12 09:11:13","SONY : CYBERSHOT : DSC00047.JPG",Exif
true,"2009-11-12 09:11:18","SONY : CYBERSHOT : DSC00048.JPG",Exif
true,"2009-11-12 09:11:22","SONY : CYBERSHOT : DSC00049.JPG",Exif
true,"2009-11-12 09:11:28","SONY : CYBERSHOT : DSC00050.JPG",Exif
true,"2009-11-12 09:11:33","SONY : CYBERSHOT : DSC00051.JPG",Exif
