Icon,Date/Time,Description,Event Type
TRUE,11/8/2009 11:28,SONY : HDR-SR10 : DSC00066.JPG,Exif
TRUE,11/8/2009 11:28,SONY : HDR-SR10 : DSC00067.JPG,Exif
TRUE,11/8/2009 11:28,SONY : HDR-SR10 : DSC00067.JPG,Exif
TRUE,11/8/2009 11:28,SONY : HDR-SR10 : DSC00068.JPG,Exif
TRUE,11/8/2009 11:28,SONY : HDR-SR10 : DSC00068.JPG,Exif
TRUE,11/8/2009 11:28,SONY : HDR-SR10 : DSC00069.JPG,Exif
TRUE,11/8/2009 11:28,SONY : HDR-SR10 : DSC00069.JPG,Exif
TRUE,11/8/2009 11:28,SONY : HDR-SR10 : DSC00070.JPG,Exif
TRUE,11/8/2009 11:28,SONY : HDR-SR10 : DSC00070.JPG,Exif
TRUE,11/8/2009 11:28,SONY : HDR-SR10 : DSC00071.JPG,Exif
TRUE,11/8/2009 11:28,SONY : HDR-SR10 : DSC00071.JPG,Exif
TRUE,11/8/2009 11:28,SONY : HDR-SR10 : DSC00072.JPG,Exif
TRUE,11/8/2009 11:28,SONY : HDR-SR10 : DSC00072.JPG,Exif
TRUE,11/8/2009 11:28,SONY : HDR-SR10 : DSC00073.JPG,Exif
TRUE,11/8/2009 11:28,SONY : HDR-SR10 : DSC00073.JPG,Exif
TRUE,11/8/2009 11:28,SONY : HDR-SR10 : DSC00074.JPG,Exif
TRUE,11/8/2009 11:28,SONY : HDR-SR10 : DSC00074.JPG,Exif
TRUE,11/8/2009 11:28,SONY : HDR-SR10 : DSC00075.JPG,Exif
TRUE,11/8/2009 11:28,SONY : HDR-SR10 : DSC00075.JPG,Exif
TRUE,11/8/2009 11:28,SONY : HDR-SR10 : DSC00076.JPG,Exif
TRUE,11/8/2009 11:28,SONY : HDR-SR10 : DSC00076.JPG,Exif
TRUE,11/8/2009 11:28,SONY : HDR-SR10 : DSC00077.JPG,Exif
TRUE,11/8/2009 11:28,SONY : HDR-SR10 : DSC00077.JPG,Exif
TRUE,11/8/2009 11:28,SONY : HDR-SR10 : DSC00078.JPG,Exif
TRUE,11/8/2009 11:28,SONY : HDR-SR10 : DSC00078.JPG,Exif
TRUE,11/8/2009 11:28,SONY : HDR-SR10 : DSC00079.JPG,Exif
TRUE,11/8/2009 11:28,SONY : HDR-SR10 : DSC00079.JPG,Exif
TRUE,11/8/2009 11:29,SONY : HDR-SR10 : DSC00080.JPG,Exif
TRUE,11/8/2009 11:29,SONY : HDR-SR10 : DSC00080.JPG,Exif
TRUE,11/8/2009 11:29,SONY : HDR-SR10 : DSC00081.JPG,Exif
TRUE,11/8/2009 11:29,SONY : HDR-SR10 : DSC00081.JPG,Exif
TRUE,11/8/2009 11:29,SONY : HDR-SR10 : DSC00082.JPG,Exif
TRUE,11/8/2009 11:29,SONY : HDR-SR10 : DSC00082.JPG,Exif
TRUE,11/8/2009 11:29,SONY : HDR-SR10 : DSC00083.JPG,Exif
TRUE,11/8/2009 11:29,SONY : HDR-SR10 : DSC00083.JPG,Exif
TRUE,11/8/2009 11:29,SONY : HDR-SR10 : DSC00084.JPG,Exif
TRUE,11/8/2009 11:29,SONY : HDR-SR10 : DSC00084.JPG,Exif
TRUE,11/9/2009 0:18,Connection Manager :  : ,Program Installed
TRUE,11/9/2009 0:26,DirectDrawEx :  : ,Program Installed
TRUE,11/9/2009 0:26,Fontcore :  : ,Program Installed
TRUE,11/9/2009 0:26,IE40 :  : ,Program Installed
TRUE,11/9/2009 0:26,IE4Data :  : ,Program Installed
TRUE,11/9/2009 0:26,IE5BAKEX :  : ,Program Installed
TRUE,11/9/2009 0:26,IEData :  : ,Program Installed
TRUE,11/9/2009 0:26,MobileOptionPack :  : ,Program Installed
TRUE,11/9/2009 0:26,SchedulingAgent :  : ,Program Installed
TRUE,11/9/2009 0:26,ICW :  : ,Program Installed
TRUE,11/9/2009 0:26,OutlookExpress :  : ,Program Installed
TRUE,11/9/2009 0:26,AddressBook :  : ,Program Installed
TRUE,11/9/2009 0:26,DirectAnimation :  : ,Program Installed
TRUE,11/9/2009 0:26,NetMeeting :  : ,Program Installed
TRUE,11/9/2009 0:26,PCHealth :  : ,Program Installed
TRUE,11/9/2009 0:29,Branding :  : ,Program Installed
TRUE,11/9/2009 0:30,DXM_Runtime :  : ,Program Installed
TRUE,11/9/2009 0:41,Shell Bags: 55323,Custom Artifact Event
TRUE,11/9/2009 0:48,Shell Bags: 55324,Custom Artifact Event
TRUE,11/9/2009 0:48,Shell Bags: 55325,Custom Artifact Event
TRUE,11/9/2009 0:49,Intel(R) PRO Ethernet Adapter and Software :  : ,Program Installed
TRUE,11/9/2009 1:14,Shell Bags: 55326,Custom Artifact Event
TRUE,11/9/2009 1:14,Shell Bags: 55327,Custom Artifact Event
TRUE,11/9/2009 1:14,Shell Bags: 55328,Custom Artifact Event
TRUE,11/9/2009 1:14,Microsoft Visual C++ 2005 Redistributable v.8.0.59193 :  : ,Program Installed
TRUE,11/9/2009 1:14,AVG 9.0 :  : ,Program Installed
TRUE,11/9/2009 1:17,Shell Bags: 55329,Custom Artifact Event
TRUE,11/9/2009 1:26,Intel(R) Extreme Graphics Driver :  : ,Program Installed
TRUE,11/9/2009 1:33,Shell Bags: 55321,Custom Artifact Event
TRUE,11/9/2009 1:37,Windows Genuine Advantage Validation Tool (KB892130) :  : ,Program Installed
TRUE,11/9/2009 1:37,Windows Genuine Advantage Validation Tool (KB892130) v.1.7.0069.2 :  : ,Program Installed
TRUE,11/9/2009 1:38,Update for Windows XP (KB898461) v.1 :  : ,Program Installed
TRUE,11/9/2009 1:38,Shell Bags: 55319,Custom Artifact Event
TRUE,11/9/2009 1:38,Shell Bags: 55320,Custom Artifact Event
TRUE,11/9/2009 2:04,Security Update for Windows XP (KB923789) :  : ,Program Installed
